ident,name,type,latitude_d,longitude_,elevation_,LLG_Name,District_Name,Prov_name,Surveyed,strip_type,takeoff_direction,season,width,length,slope,co_ords,elevation_pb,elevation_th,spl_hz,spl_side,spl2_hz,spl2_side,side_slp,clw_1,clw_2,clw_3,clw2_1,clw2_2,clw2_3,dist_obst,dist2_obst,dsc,dsc2,surf_cvr,soil_typ,soil_moist,surf_hdn,surf_rgh,surf_und,surf_com,wind_pr,wind_set,wind_cond,cone_1,cone_2,cone_no,cone_wt,cone_yl,oth_com
AYEY,Mirsey Airstrip,small_airport,-4.0621,142.6609,107,Ambunti Rural LLG,Ambunti/Drekikier District,East Sepik Province,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AYMS,Misima Island Airport,small_airport,-10.6892004,152.8379974,26,Louisiade Rural LLG,Samarai-Murua District,Milne Bay Province,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MPX,Miyanmin Airport,small_airport,-4.903055556,141.6208333,2500,Telefomin Rural LLG,Telefomin District,West Sepik (Sandaun) Province,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AYOX,Moi Airstrip,small_airport,-4.1615,141.2478,240,Green River Rural LLG,Vanimo/Green River District,West Sepik (Sandaun) Province,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AYMK,Mok Airport,small_airport,-5.730238,149.056583,1050,Kove/Kaliai Rural LLG,Kandrian/Gloucester District,West New Britain Province,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MJJ,Moki Airport,small_airport,-5.7181,145.2404,3030,Bundi Rural LLG,UsiNo Bundi District,Madang Province,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AYMO,Momote Airport,medium_airport,-2.06189,147.423996,12,Los Negros LLG,Manus District,Manus Province,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MHY,Morehead Airport,small_airport,-8.714111111,141.6444444,100,Morehead Rural LLG,South Fly District,Western Province,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AYMR,Moro Airport,small_airport,-6.363329887,143.2380066,2740,Lake Kutubu Rural LLG,Nipa/Kutubu District,Southern Highlands Province,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AYML,Mougulu Airport,small_airport,-6.280859,142.420775,825,Nomad Rural LLG,Middle Fly District,Western Province,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UAE,Mount Aue Airport,small_airport,-6.234166667,144.6647222,4250,South Waghi Rural LLG,Anglimp/South Waghi District,Jiwaka Province,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AYRX,Mount Boregoro Helicopter Landing  Site,heliport,-9.8944,148.1069,898,Rigo Inland Rural LLG,Rigo District,Central Province,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AYMH,Mount Hagen Kagamuga Airport,medium_airport,-5.826789856,144.2960052,5388,Mt Hagen Rural LLG,Mt Hagen District,Western Highlands Province,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AYYT,Mount Tauwa Airstrip,small_airport,-6.7293,144.303,3700,Erave Rural LLG,Kagua/Erave District,Southern Highlands Province,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AYYU,Mui Airstrip,small_airport,-4.7912,144.3113,132,Arabaka Rural LLG,Middle Ramu District,Madang Province,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LNF,Munbil Airport,small_airport,-4.855941,141.220165,3126,Yapsie Rural LLG,Telefomin District,West Sepik (Sandaun) Province,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AYDK,Munduku Airport,small_airport,-4.6204,143.4516,100,Karawari Rural LLG,Angoram District,East Sepik Province,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
